id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
10,1031D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5,Kamenicë
10,1031D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,28,Kamenicë
10,1031D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,140,Kamenicë
10,1031D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,128,Kamenicë
10,1032D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,13,Kamenicë
10,1032D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,9,Kamenicë
10,1032D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,50,Kamenicë
10,1032D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,43,Kamenicë
10,1032D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,192,Kamenicë
10,1032D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,433,Kamenicë
10,BM010,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,BM010,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,12,Kamenicë
10,BM010,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,19,Kamenicë
10,BM010,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,20,Kamenicë
